所用工序,产品族,前置工序,后置工序,切换时间(s),,,,,,,,,,,,,,
组装,tf-02-i,主板程序烧录,粘贴SN标签,300,,,,,,,,,,,,,,
组装,tf-02-i,粘贴SN标签,密封圈安装,300,,,,,,,,,,,,,,
组装,tf-02-i,密封圈安装,发射/接受透镜固定,300,,,,,,,,,,,,,,
组装,tf-02-i,转接板程序烧录,后壳穿线,300,,,,,,,,,,,,,,
组装,tf-02-i,后壳穿线,镜片安装,300,,,,,,,,,,,,,,
组装,tf-02-i,镜片安装,主板分板,300,,,,,,,,,,,,,,
组装,tf-02-i,转接板分板,后壳点胶,300,,,,,,,,,,,,,,
组装,tf-02-i,后壳点胶,发射/接受透镜安装,300,,,,,,,,,,,,,,
组装,tf-02-i,发射/接受透镜安装,前壳模组安装,300,,,,,,,,,,,,,,
组装,tf-02-pro,主板程序烧录,密封圈组装+UV固化,300,,,,,,,,,,,,,,
组装,tf-02-pro,镜片贴合,发射/接收透镜安装和固定,300,,,,,,,,,,,,,,
组装,tf-02-pro,镜片压合+粘贴SN标签,主板分板+前壳模组安装,300,,,,,,,,,,,,,,
组装,tf-02-pro,后壳穿线+尾线点胶,后壳安装,300,,,,,,,,,,,,,,
组装,tf-02-pro-w,主板程序烧录,镜片安装,300,,,,,,,,,,,,,,
组装,tf-02-pro-w,发射/接收透镜安装和固定,粘贴SN标签+装盘,300,,,,,,,,,,,,,,
组装,tf-03,主板程序烧录,前壳装镜片,300,,,,,,,,,,,,,,
组装,tf-03,前壳装镜片,接收板固定屏蔽罩和分板,300,,,,,,,,,,,,,,
组装,tf-03,接收板固定屏蔽罩和分板,模组APD电压标定,300,,,,,,,,,,,,,,
组装,tf-03,模组APD电压标定,模组装后壳,300,,,,,,,,,,,,,,
组装,tf-03,主板分板,后壳组装,300,,,,,,,,,,,,,,
组装,tf-03,后壳组装,发射板固定,300,,,,,,,,,,,,,,
组装,tf-03,发射板固定,光轴调节+量程筛选,300,,,,,,,,,,,,,,
组装,tf-03,光轴调节+量程筛选,接收板固定屏蔽罩和分板,300,,,,,,,,,,,,,,
组装,tf-03,接收板固定屏蔽罩和分板,模组装前壳,300,,,,,,,,,,,,,,
组装,tf-03,发射板分板,主板焊线,300,,,,,,,,,,,,,,
组装,tf-03,主板焊线,主板、接收板安装及连线,300,,,,,,,,,,,,,,
组装,tf-03,主板、接收板安装及连线,模式配置检验,300,,,,,,,,,,,,,,
组装,tf-03,激光器安装,激光器和滤波片固定,300,,,,,,,,,,,,,,
组装,tf-03,激光器和滤波片固定,激光器引脚固定及防护,300,,,,,,,,,,,,,,
组装,tf-03,激光器引脚固定及防护,模组点胶,300,,,,,,,,,,,,,,
包装,tf-03,,,300,,,,,,,,,,,,,,
包装,tf-03,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-350,,,300,,,,,,,,,,,,,,
测试,tf-350,,,300,,,,,,,,,,,,,,
包装,tf-350,,,300,,,,,,,,,,,,,,
组装,tf-luna,主板程序烧录,粘贴贴SN标签+装盘,300,,,,,,,,,,,,,,
组装,tf-luna,主板分板,安装主板+上料,300,,,,,,,,,,,,,,
组装,tf-luna-m,主板程序烧录,粘贴贴SN标签+装盘,300,,,,,,,,,,,,,,
组装,tf-luna-m,主板分板,安装主板+上料,300,,,,,,,,,,,,,,
组装,tf-mini-i,转接板烧程序,转接板安装,300,,,,,,,,,,,,,,
组装,tf-mini-i,转接板分板,后壳组装,300,,,,,,,,,,,,,,
组装,tf-mini-i,主板安装+粘贴SN标签,整机组装,300,,,,,,,,,,,,,,
组装,tf-mini-plus,主板程序烧录,后壳穿线,300,,,,,,,,,,,,,,
组装,tf-mini-plus,主板分板+安装主板+上料,尾线点胶+UV固化,300,,,,,,,,,,,,,,
组装,tf-mini-plus,主板螺丝固定,后壳端子安装,300,,,,,,,,,,,,,,
组装,tf-mini-plus,粘贴SN标签+装盘,超声波焊接,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,主板程序烧录,主板安装+上料,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,主板端子点胶固定,主板固定,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,主板分板,主板刷三防漆,300,,,,,,,,,,,,,,
组装,tf-mini-s-r,粘贴SN标签+装盘,光斑筛选,300,,,,,,,,,,,,,,
组装,tf-S2R,主板分板,装显示屏/调试,300,,,,,,,,,,,,,,
组装,tf-S2R,主板程序烧录,粘贴SN标签,300,,,,,,,,,,,,,,
组装,tf-S2R,主板刷三防漆,安装显示屏,300,,,,,,,,,,,,,,
组装,tf-S2R,通信检验,端子处粘贴SN标签,300,,,,,,,,,,,,,,
组装,tf-mini-s,主板程序烧录,粘贴SN标签+装盘,300,,,,,,,,,,,,,,
组装,tf-mini-s,主板分板,主板安装,300,,,,,,,,,,,,,,