code,product_name,组装,测试,包装
13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,26,40.75,77.31
13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,26,40.75,6
13.01.04.035,TFmini-S-I²C(单品包装)-V1.0,26,40.75,77.31
13.01.04.036,TFmini-S-I²C(整箱包装)-V1.0,26,40.75,6
13.01.04.053,TFmini-S-A-I²C(整箱包装)-V1.0,26,40.75,6
13.01.04.059,TFmini-S-LH-I²C(单品包装)-V1.0,26,40.75,77.31
13.01.04.060,TFmini-S-LH (单品包装)-V1.0,26,40.75,77.31
13.01.04.033,TFmini-S-R(整箱包装)-V1.0,54.77,40.75,6
13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,60.78,51.57,103.5
13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,60.78,51.57,43.3
13.01.08.007,TFmini Plus-2400-I²C(单品包装)-V1.0,60.78,51.57,103.5
13.01.08.008,TFmini Plus-2400-I²C(整箱包装)-V1.0,60.78,51.57,43.3
13.01.08.009,TFmini Plus-I²C-KIWI,60.78,51.57,43.3
13.01.08.010,TFmini Plus-ABB,60.78,51.57,43.3
13.01.07.001,TF-luna(标品/单品包装)-V1.0,30.4,23.6,36.98
13.01.07.002,TF-luna(标品/整箱包装)-V1.0,30.4,23.6,2
13.01.07.010,TF-Luna-OW,30.4,23.6,30.79
13.01.07.011,TF-Luna-OW1,30.4,23.6,30.79
13.01.07.005,MCC-0100D,67.4,24,15
13.01.07.003,TF-Luna(LT/整箱包装)-V1.0,30.4,100,2
13.01.07.006,TF-Luna-N(整箱包装),30.4,23.6,2
13.01.07.007,TF-Luna-N(单品包装),30.4,23.6,36.98
13.01.07.008,TF-Luna-ASU,30.4,23.6,6
13.01.07.009,TF-Luna-M-ASU,30.4,23.6,6
13.01.09.001,TF350-UART(单品包装)-V1.0,636.11,200,90.1
13.01.09.002,TF350-485(单品包装)-V1.0,636.11,200,90.1
13.01.09.003,TF350-232(单品包装)-V1.0,636.11,200,90.1
13.01.09.004,TF350-4~20mA(单品包装)-V1.0,636.11,200,90.1
13.01.05.006,TF03-485(单品包装)-V1.1,824,120,105.9
13.01.05.018,TF03-485(整箱包装)-V1.1,824,120,27.3
13.01.05.005,TF03-UART(单品包装)-V1.1,824,120,105.9
13.01.05.015,TF03-232(整箱包装)-V1.0,824,120,27.3
13.01.05.017,TF03-UART(整箱包装)-V1.1,824,120,27.3
13.01.05.016,TF03-232(单品包装)-V1.0,824,120,105.9
13.01.05.011,TF03-180 4~20mA（单品包装）-V1.0,824,120,105.9
13.01.05.013,TF03-100 4~20mA（单品包装）-V1.0,824,120,105.9
13.01.05.032,TF03-UART-无LOGO,824,120,253
13.01.05.033,TF03-485-无LOGO,824,120,253
13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,564.48,93.6,30.58
13.01.02.037,TF02-Pro-W(单品包装)-V1.0,564.48,93.6,75.8
13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,429,119,75.8
13.01.02.030,TF02-Pro-W-485(整箱包装)-V1.0,429,119,30.58
13.01.02.025,TF02-Pro-F(整箱包装)-V1.0,173.5,119,97
13.01.02.023,TF02-Pro标品(整箱包装)-V1.0,197,119,27.57
13.01.02.024,TF02-Pro标品(单品包装)-V1.0,197,119,89.4
13.01.02.039,TF02-Pro-Breezer,197,119,27.57
13.01.02.040,TF02-Pro-SY,197,119,27.57
13.01.06.004,S2R继电器板,5,225,35
13.01.04.048,TFmini-i-485(单品包装)-V1.0,294.98,44.45,128.4
13.01.04.046,TFmini-i-485(整箱包装)-V1.0,294.98,44.45,60
13.01.04.051,TFmini-i-485(整箱) 2m散线,294.98,44.45,60
13.01.04.049,TFmini-i-CAN(单品包装)-V1.0,294.98,44.45,128.4
13.01.04.047,TFmini-i-CAN(整箱包装)-V1.0,294.98,44.45,60
13.01.04.050,TFmini-i-CAN(整箱) 2m散线,294.98,44.45,60
13.01.04.054,TFmini-i-CAN(单品包装)-V1.1,294.98,44.45,128.4
13.01.04.055,TFmini-i-CAN(整箱包装)-V1.1,294.98,44.45,60
13.01.04.056,TFmini-i-CAN-2m散线-V1.1,294.98,44.45,60
13.01.02.035,TF02-i-485(单品包装)-V1.0,370.64,44.45,132
13.01.02.033,TF02-i-485(整箱包装)-V1.0,370.64,44.45,97
13.01.02.036,TF02-i-CAN(单品包装)-V1.0,370.64,44.45,132
13.01.02.034,TF02-i-CAN(整箱包装)-V1.0,370.64,44.45,97
13.01.08.011,TFmini Plus-YE,95.41875,36,163
13.01.05.035,TF03-100-CAN-无logo-SDJL(整箱包装),824,120,253
13.01.05.021,TF03-V3-MT,824,120,253
13.01.02.031,TF02-Pro-I²C(单品包装)-V1.0,197,119,89.4
13.01.04.062,TFmini-S-K-(整箱包装)-V1.0,26,40.75,6
13.01.04.061,TFmini-S-05,63,40.75,6
DZ.01.02.023.HNHL,TF02-Pro标品(整箱包装)-V1.0-HNHL,197,119,27.57
DZ.01.02.023.ZM,TF02-Pro标品(整箱包装)-V1.0-泽牧9mm尾线定制,197,119,27.57
DZ.01.02.023.ZM02 ,TF02-Pro标品(整箱包装)-V1.0-泽牧标品尾线定制,197,119,27.57
DZ.01.05.017.Bordelaise,TF03-UART(整箱包装)-V1.1-Bordelaise-70mm尾线,824,120,105.9
DZ.01.02.023.F,TF02-Pro标品(整箱包装)-V1.0-软件定制,173.5,119,97