物料编码,物料名称,前置工序,后缀工序
13.01.02.023,,1,5
13.01.02.023,,2,6
13.01.02.023,,3,7
13.01.02.023,,4,8
13.01.02.024,,1,5
13.01.02.024,,2,6
13.01.02.024,,3,7
13.01.02.024,,4,8
13.01.02.025,,1,5
13.01.02.025,,2,6
13.01.02.025,,3,7
13.01.02.025,,4,8
13.01.02.026,,1,5
13.01.02.026,,5,9
13.01.02.026,,9,13
13.01.02.026,,2,6
13.01.02.026,,6,10
13.01.02.026,,3,7
13.01.02.026,,7,11
13.01.02.026,,4,8
13.01.02.026,,8,12
13.01.02.030,,1,5
13.01.02.030,,5,9
13.01.02.030,,9,13
13.01.02.030,,2,6
13.01.02.030,,6,10
13.01.02.030,,3,7
13.01.02.030,,7,11
13.01.02.030,,4,8
13.01.02.030,,8,12
13.01.02.031,,1,5
13.01.02.031,,2,6
13.01.02.031,,3,7
13.01.02.031,,4,8
13.01.02.037,,1,5
13.01.02.037,,5,9
13.01.02.037,,9,13
13.01.02.037,,2,6
13.01.02.037,,6,10
13.01.02.037,,3,7
13.01.02.037,,7,11
13.01.02.037,,4,8
13.01.02.037,,8,12
13.01.02.038,,1,5
13.01.02.038,,5,9
13.01.02.038,,9,13
13.01.02.038,,2,6
13.01.02.038,,3,7
13.01.02.038,,4,8
13.01.02.039,,1,5
13.01.02.039,,2,6
13.01.02.039,,3,7
13.01.02.039,,4,8
13.01.02.040,,1,5
13.01.02.040,,2,6
13.01.02.040,,3,7
13.01.02.040,,4,8
13.01.04.033,,1,7
13.01.04.033,,2,6
13.01.04.033,,3,8
13.01.04.033,,4,5
13.01.04.035,,1,4
13.01.04.035,,2,5
13.01.04.036,,1,4
13.01.04.036,,2,5
13.01.04.041,,1,4
13.01.04.041,,2,5
13.01.04.042,,1,4
13.01.04.042,,2,5
13.01.04.059,,1,4
13.01.04.059,,2,5
13.01.04.060,,1,4
13.01.04.060,,2,5
13.01.04.061,,1,4
13.01.04.061,,2,5
13.01.04.062,,1,4
13.01.04.062,,2,5
13.01.05.005,,1,7
13.01.05.005,,7,13
13.01.05.005,,2,8
13.01.05.005,,8,14
13.01.05.005,,3,9
13.01.05.005,,9,15
13.01.05.005,,4,10
13.01.05.005,,10,16
13.01.05.005,,5,11
13.01.05.005,,11,18
13.01.05.005,,6,12
13.01.05.005,,12,17
13.01.05.006,,1,7
13.01.05.006,,7,13
13.01.05.006,,2,8
13.01.05.006,,8,14
13.01.05.006,,3,9
13.01.05.006,,9,15
13.01.05.006,,4,10
13.01.05.006,,10,16
13.01.05.006,,5,11
13.01.05.006,,11,18
13.01.05.006,,6,12
13.01.05.006,,12,17
13.01.05.011,,1,7
13.01.05.011,,7,13
13.01.05.011,,2,8
13.01.05.011,,8,14
13.01.05.011,,3,9
13.01.05.011,,9,15
13.01.05.011,,4,10
13.01.05.011,,10,16
13.01.05.011,,5,11
13.01.05.011,,11,18
13.01.05.011,,6,12
13.01.05.011,,12,17
13.01.05.013,,1,7
13.01.05.013,,7,13
13.01.05.013,,2,8
13.01.05.013,,8,14
13.01.05.013,,3,9
13.01.05.013,,9,15
13.01.05.013,,4,10
13.01.05.013,,10,16
13.01.05.013,,5,11
13.01.05.013,,11,18
13.01.05.013,,6,12
13.01.05.013,,12,17
13.01.05.015,,1,7
13.01.05.015,,7,13
13.01.05.015,,2,8
13.01.05.015,,8,14
13.01.05.015,,3,9
13.01.05.015,,9,15
13.01.05.015,,4,10
13.01.05.015,,10,16
13.01.05.015,,5,11
13.01.05.015,,11,18
13.01.05.015,,6,12
13.01.05.015,,12,17
13.01.05.016,,1,7
13.01.05.016,,7,13
13.01.05.016,,2,8
13.01.05.016,,8,14
13.01.05.016,,3,9
13.01.05.016,,9,15
13.01.05.016,,4,10
13.01.05.016,,10,16
13.01.05.016,,5,11
13.01.05.016,,11,18
13.01.05.016,,6,12
13.01.05.016,,12,17
13.01.05.017,,1,7
13.01.05.017,,7,13
13.01.05.017,,2,8
13.01.05.017,,8,14
13.01.05.017,,3,9
13.01.05.017,,9,15
13.01.05.017,,4,10
13.01.05.017,,10,16
13.01.05.017,,5,11
13.01.05.017,,11,18
13.01.05.017,,6,12
13.01.05.017,,12,17
13.01.05.018,,1,7
13.01.05.018,,7,13
13.01.05.018,,2,8
13.01.05.018,,8,14
13.01.05.018,,3,9
13.01.05.018,,9,15
13.01.05.018,,4,10
13.01.05.018,,10,16
13.01.05.018,,5,11
13.01.05.018,,11,18
13.01.05.018,,6,12
13.01.05.018,,12,17
13.01.05.021,,1,7
13.01.05.021,,7,13
13.01.05.021,,2,8
13.01.05.021,,8,14
13.01.05.021,,3,9
13.01.05.021,,9,15
13.01.05.021,,4,10
13.01.05.021,,10,16
13.01.05.021,,5,11
13.01.05.021,,11,18
13.01.05.021,,6,12
13.01.05.021,,12,17
13.01.05.032,,1,7
13.01.05.032,,7,13
13.01.05.032,,2,8
13.01.05.032,,8,14
13.01.05.032,,3,9
13.01.05.032,,9,15
13.01.05.032,,4,10
13.01.05.032,,10,16
13.01.05.032,,5,11
13.01.05.032,,11,18
13.01.05.032,,6,12
13.01.05.032,,12,17
13.01.05.033,,1,7
13.01.05.033,,7,13
13.01.05.033,,2,8
13.01.05.033,,8,14
13.01.05.033,,3,9
13.01.05.033,,9,15
13.01.05.033,,4,10
13.01.05.033,,10,16
13.01.05.033,,5,11
13.01.05.033,,11,18
13.01.05.033,,6,12
13.01.05.033,,12,17
13.01.05.035,,1,7
13.01.05.035,,7,13
13.01.05.035,,2,8
13.01.05.035,,8,14
13.01.05.035,,3,9
13.01.05.035,,9,15
13.01.05.035,,4,10
13.01.05.035,,10,16
13.01.05.035,,5,11
13.01.05.035,,11,18
13.01.05.035,,6,12
13.01.06.004,,12,17
13.01.07.001,,1,5
13.01.07.001,,2,3
13.01.07.002,,1,5
13.01.07.002,,2,3
13.01.07.003,,1,5
13.01.07.003,,2,3
13.01.07.005,,1,5
13.01.07.005,,2,3
13.01.07.006,,1,5
13.01.07.006,,2,3
13.01.07.007,,1,5
13.01.07.007,,2,3
13.01.07.008,,1,5
13.01.07.008,,2,3
13.01.07.009,,1,5
13.01.07.009,,2,3
13.01.07.010,,1,5
13.01.07.010,,2,3
13.01.07.011,,1,5
13.01.07.011,,2,3
13.01.08.005,,1,5
13.01.08.005,,2,6
13.01.08.005,,3,7
13.01.08.005,,4,8
13.01.08.006,,1,5
13.01.08.006,,2,6
13.01.08.006,,3,7
13.01.08.006,,4,8
13.01.08.007,,1,5
13.01.08.007,,2,6
13.01.08.007,,3,7
13.01.08.007,,4,8
13.01.08.008,,1,5
13.01.08.008,,2,6
13.01.08.008,,3,7
13.01.08.008,,4,8
13.01.08.009,,1,5
13.01.08.009,,2,6
13.01.08.009,,3,7
13.01.08.009,,4,8
13.01.08.010,,1,5
13.01.08.010,,2,6
13.01.08.010,,3,7
13.01.08.010,,4,8
13.01.08.011,,1,5
13.01.08.011,,2,6
13.01.08.011,,3,7
13.01.08.011,,4,8