机器ID,产品族,工序,临时用,机器名称,使用车间
SYTFGZZ001,tf-02-i,面板压合,tf-02-i面板压合,TF02-PRO-2-6-02镜片压合工装,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,尾线点胶,tf-02-i尾线点胶,半自动点胶机,组装车间
SYTFGZZ006,tf-02-i,尾线点胶,tf-02-i尾线点胶,TF02尾线压合工装,组装车间
SYTFGSX001,tf-02-i,转接板烧程序,tf-02-i转接板烧程序,485 CAN 转接板烧录工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-02-i,转接板分板,tf-02-i转接板分板,分板治具,组装车间
SYTFGSX002,tf-02-i,主板程序烧录,tf-02-i主板程序烧录,TF02-PRO整拼烧写工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-02-i,主板分板,tf-02-i主板分板,分板治具,组装车间
SYTFSDJ007,tf-02-i,尾壳组件UV固化,tf-02-i尾壳组件UV固化,UV固化炉,组装车间
SYTFGZZ010,tf-02-i,发射/接受透镜安装,tf-02-i发射/接受透镜安装,TF02-PRO镜头组装工装（新版）,组装车间
SYTFSZZ011,tf-02-i,固定发射/接受镜头,tf-02-i固定发射/接受镜头,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,固定发射/接受镜头,tf-02-i固定发射/接受镜头,半自动点胶机,组装车间
SYTFZZZ009,tf-02-i,前壳模组组装,tf-02-i前壳模组组装,TF02-PRO前壳组装治具,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,后盖点胶,tf-02-i后盖点胶,半自动点胶机,组装车间
SYTFSZZ011,tf-02-i,固定转接板,tf-02-i固定转接板,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ007,tf-02-i,固定发射/接受镜头,tf-02-i固定发射/接受镜头,UV固化炉,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-i,整机组装,tf-02-i整机组装,半自动点胶机,组装车间
SYTFSZZ011,tf-02-i,整机组装,tf-02-i整机组装,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFGJZ005,tf-02-i,校准测试,tf-02-i校准测试,TF02-PRO校准工装,校准车间
SYTFGZZ001,tf-02-pro,面板压合,tf-02-pro面板压合,TF02-PRO镜片压合工装,组装车间
SYTFGSX002,tf-02-pro,主板程序烧录,tf-02-pro主板程序烧录,TF02-PRO整拼烧写工装,组装车间
SYTFGJZ005,tf-02-pro,校准测试,tf-02-pro校准测试,TF02-PRO校准工装,校准车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro,后壳穿线+尾线点胶,tf-02-pro后壳穿线+尾线点胶,半自动点胶机,组装车间
SYTFGZZ006,tf-02-pro,后壳穿线+尾线点胶,tf-02-pro后壳穿线+尾线点胶,TF02尾线压合工装,组装车间
SYTFSDJ007,tf-02-pro,后壳穿线+尾线点胶,tf-02-pro后壳穿线+尾线点胶,UV固化炉,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro,发射/接收透镜安装和固定,tf-02-pro发射/接收透镜安装和固定,半自动点胶机,组装车间
SYTFGZZ010,tf-02-pro,发射/接收透镜安装和固定,tf-02-pro发射/接收透镜安装和固定,TF02-PRO镜头组装工装（新版）,组装车间
SYTFSZZ011,tf-02-pro,发射/接收透镜安装和固定,tf-02-pro发射/接收透镜安装和固定,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFZZZ009/SYTFZZZ022,tf-02-pro,主板分板,tf-02-pro主板分板,分板治具,组装车间
SYTFZZZ007,tf-02-pro,前壳模组组装,tf-02-pro前壳模组组装,TF02-Pro前壳组装治具,组装车间
SYTFSZZ011,tf-02-pro,前壳模组组装,tf-02-pro前壳模组组装,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ004,tf-02-pro,后壳组装,tf-02-pro后壳组装,半自动点胶机,组装车间
SYTFZZZ007,tf-02-pro,后壳组装,tf-02-pro后壳组装,TF02-Pro前壳组装治具,组装车间
SYTFSZZ011,tf-02-pro,后壳组装,tf-02-pro后壳组装,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ007,tf-02-pro,发射/接收透镜安装和固定,tf-02-pro发射/接收透镜安装和固定,UV固化炉,组装车间
SYTFGZZ003,tf-02-pro-w,镜片压合,tf-02-pro-w镜片压合,TF02-W镜片压合工装,组装车间
SYTFGSX003,tf-02-pro-w,主板程序烧录,tf-02-pro-w主板程序烧录,TF02-W整拼烧写工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-02-pro-w,主板分板,tf-02-pro-w主板分板,分板工装,组装车间
SYTFGZZ010,tf-02-pro-w,发射/接收透镜安装和固定,tf-02-pro-w发射/接收透镜安装和固定,TF02-PRO-W镜头组装工装,组装车间
SYTFSZZ011,tf-02-pro-w,发射/接收透镜安装和固定,tf-02-pro-w发射/接收透镜安装和固定,智能电批（含∅2mm吸嘴、∅2mm供料器）,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro-w,发射/接收透镜安装和固定,tf-02-pro-w发射/接收透镜安装和固定,半自动点胶机,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro-w,后壳尾线点胶,tf-02-pro-w后壳尾线点胶,半自动点胶机,组装车间
SYTFZZZ003,tf-02-pro-w,后盖组装,tf-02-pro-w后盖组装,TF02-W主板组装工装,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro-w,后盖组装,tf-02-pro-w后盖组装,半自动点胶机,组装车间
SYTFSDJ007,tf-02-pro-w,发射/接收透镜安装和固定,tf-02-pro-w发射/接收透镜安装和固定,UV固化炉,组装车间
SYTFGJZ005,tf-02-pro-w,校准测试,tf-02-pro-w校准测试,TF02-PRO-W校准工装,校准车间
SYTFZZZ018,tf-02-pro-w,雨刷组装,tf-02-pro-w雨刷组装,TF02-W雨刷组装治具,组装车间
SYTFGZZ008,tf-02-pro-w,雨刷校准测试,tf-02-pro-w雨刷校准测试,TF02-W雨刷调试工装,组装车间
SYTFSDJ004/SYTFSDJ005,tf-02-pro-w,摇臂组装,tf-02-pro-w摇臂组装,半自动点胶机,组装车间
SYTFZZZ009/SYTFZZZ022,tf-03,发射板分板,tf-03发射板分板,分板治具,组装车间
SYTFGSX009,tf-03,主板程序烧录,tf-03主板程序烧录,TF03多拼烧写工装,组装车间
SYTFSZZ004/SYTFSZZ005,tf-03,主板焊线,tf-03主板焊线,智能综合热风拆焊台,组装车间
SYTFZZZ009/SYTFZZZ022,tf-03,主板分板,tf-03主板分板,分板治具,组装车间
SYTFZZZ009/SYTFZZZ022,tf-03,接收板分板,tf-03接收板分板,分板治具,组装车间
SYTFZZZ014,tf-03,后壳组装,tf-03后壳组装,TF-mini工业版尾线组装工具,组装车间
SYTFSDJ004/SYTFSDJ005,tf-03,后壳组装,tf-03后壳组装,半自动点胶机,组装车间
SYTFGZZ004,tf-03,前壳装镜片,tf-03前壳装镜片,TF03红透玻璃压合工装,组装车间
SYTFZZZ014,tf-03,激光器安装,tf-03激光器安装,TF03激光器压合治具,组装车间
SYTFSZZ004/SYTFSZZ005,tf-03,激光器引脚固定及防护,tf-03激光器引脚固定及防护,智能综合热风拆焊台,组装车间
SYTFZZZ002,tf-03,主板、接收板安装及连线,tf-03主板、接收板安装及连线,TF03主板组装治具,组装车间
SYTFZZZ017,tf-03,模组APD电压标定,tf-03模组APD电压标定,TF03-APD标定治具,组装车间
SYTFGJZ006,tf-03,光轴调节+量程筛选,tf-03光轴调节+量程筛选,TF03调轴工装,校准车间
SYTFGJZ007,tf-03,校准测试,tf-03校准测试,TF03转台校准工装,校准车间
SYTFSDJ004/SYTFSDJ005,tf-03,激光器和滤波片固定,tf-03激光器和滤波片固定,半自动点胶机,组装车间
SYTFZZZ023,tf-03,激光器和滤波片固定,tf-03激光器和滤波片固定,TF03镜筒固定治具,组装车间
SYTFSDJ007,tf-03,激光器和滤波片固定,tf-03激光器和滤波片固定,UV固化炉,组装车间
SYTFZZZ004,tf-03,模组装后壳,tf-03模组装后壳,TF03模组组装治具,组装车间
SYTFSDJ004/SYTFSDJ005,tf-03,模组装后壳,tf-03模组装后壳,半自动点胶机,组装车间
SYTFSDJ004/SYTFSDJ005,tf-03,模组装前壳,tf-03模组装前壳,半自动点胶机,组装车间
SYTFGSX008,tf-luna,主板程序烧录,tf-luna主板程序烧录,TF-Luna烧录工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-luna,主板分板,tf-luna主板分板,分板治具,组装车间
SYTFZZZ019,tf-luna,安装主板,tf-luna安装主板,TF-Luna组装治具,组装车间
SYTFZZZ019,tf-luna,主板打螺丝,tf-luna主板打螺丝,TF-Luna组装治具,组装车间
SYTFSZZ006,tf-luna,主板打螺丝,tf-luna主板打螺丝,TF-luna自动螺丝机,组装车间
SYTFGJZ002,tf-luna,校准测试,tf-luna校准测试,TF-luna校准工装,校准车间
SYTFGJZ004,tf-luna-m,测试,tf-luna-m测试,TF-luna-M校准工装,校准车间
SYTFGZZ005,tf-mini-i,前壳组装,tf-mini-i前壳组装,TFm-mini工业版镜片压合工装,组装车间
SYTFZZZ014,tf-mini-i,后盖组装 ,tf-mini-i后盖组装 ,TF-mini工业版尾线组装工具,组装车间
SYTFSDJ004/SYTFSDJ005,tf-mini-i,后盖组装 ,tf-mini-i后盖组装 ,半自动点胶机,组装车间
SYTFGSX001,tf-mini-i,转接板烧程序,tf-mini-i转接板烧程序,485 CAN 转接板烧录工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-mini-i,转接板分板,tf-mini-i转接板分板,分板治具,组装车间
SYTFZZZ006,tf-mini-i,TFmini-s安装,tf-mini-iTFmini-s安装,TF-mini-工业版前壳组装治具,组装车间
SYTFZZZ008,tf-mini-i,转接板安装,tf-mini-i转接板安装,TF-mini工业版转接板组装治具,组装车间
SYTFZZZ006,tf-mini-i,整机组装,tf-mini-i整机组装,TF-mini-工业版前壳组装治具,组装车间
SYTFSDJ004/SYTFSDJ005,tf-mini-i,整机组装,tf-mini-i整机组装,半自动点胶机,组装车间
SYTFGSX005,tf-mini-i,主板程序烧录,tf-mini-i主板程序烧录,TF-mini烧写测试工装（单板）,组装车间
SYTFGSX007,tf-mini-plus,主板程序烧录,tf-mini-plus主板程序烧录,TFmini-plus-V2整板烧写工装,组装车间
SYTFZZZ009/SYTFZZZ022,tf-mini-plus,主板分板,tf-mini-plus主板分板,分板治具,组装车间
SYTFZZZ026,tf-mini-plus,安装主板,tf-mini-plus安装主板,TFmini-Plus打螺丝工装,组装车间
SYTFSZZ007,tf-mini-plus,主板螺钉固定,tf-mini-plus主板螺钉固定,TF-PLUS自动螺丝机,组装车间
SYTFSDJ007,tf-mini-plus,尾线组装点胶,tf-mini-plus尾线组装点胶,UV固化炉,组装车间
SYTFSDJ004/SYTFSDJ005,tf-mini-plus,尾线组装点胶,tf-mini-plus尾线组装点胶,半自动点胶机,组装车间
SYTFSZZ009,tf-mini-plus,超声波焊接,tf-mini-plus超声波焊接,超声波焊接机,组装车间
SYTFGJZ001,tf-mini-plus,校准测试,tf-mini-plus校准测试,PLUS校准工装,校准车间
SYTFGSX004,tf-mini-s,主板程序烧录,tf-mini-s主板程序烧录,TF-mini-V1.8.1测试工装（10拼板）,组装车间
SYTFZZZ009/SYTFZZZ022,tf-mini-s,主板分板,tf-mini-s主板分板,分板治具,组装车间
SYTFZZZ005,tf-mini-s,安装主板,tf-mini-s安装主板,TFmini-s组装工装,组装车间
SYTFSZZ008,tf-mini-s,安装主板,tf-mini-s安装主板,TFmini-s自动螺丝机,组装车间
SYTFGJZ003,tf-mini-s,校准测试,tf-mini-s校准测试,TF-mini-S校准测试工装,校准车间
SYTFGSX004,tf-mini-s-r,主板程序烧录,tf-mini-s-r主板程序烧录,TF-mini-V1.8.1测试工装（10拼板）,组装车间
SYTFSDJ004/SYTFSDJ005,tf-mini-s-r,主板端子点胶固定,tf-mini-s-r主板端子点胶固定,半自动点胶机,组装车间
SYTFSDJ007,tf-mini-s-r,主板端子点胶固定,tf-mini-s-r主板端子点胶固定,UV固化炉,组装车间
SYTFZZZ009/SYTFZZZ022,tf-mini-s-r,主板分板,tf-mini-s-r主板分板,分板治具,组装车间
SYTFZZZ005,tf-mini-s-r,安装主板,tf-mini-s-r安装主板,TFmini-s组装工装,组装车间
SYTFSZZ008,tf-mini-s-r,安装主板,tf-mini-s-r安装主板,TFmini-s自动螺丝机,组装车间
SYTFGJZ003,tf-mini-s-r,校准测试,tf-mini-s-r校准测试,TF-mini-S校准测试工装,校准车间
SYTFSZZ003,,,,微电脑不锈钢锡炉,组装车间
SYTFSZZ004,,,,智能综合热风拆焊台,组装车间
SYTFSZZ005,,,,智能综合热风拆焊台,组装车间
SYTFSZZ006,,,,TF-luna自动螺丝机,组装车间
SYTFSZZ007,,,,TF-PLUS自动螺丝机,组装车间
SYTFSZZ009,,,,超声波焊接机,组装车间
SYTFSZZ010,,,,分板机,组装车间
SYTFSZZ008,,,,TFmini自动螺丝机,组装车间
SYTFZZZ002,,,,TF03主板组装治具,组装车间
SYTFZZZ003,,,,TF02-W主板组装治具,组装车间
SYTFZZZ004,,,,TF03模组组装治具,组装车间
SYTFZZZ005,,,,TF-mini组装定位治具,组装车间
SYTFZZZ006,,,,TF-mini-工业版前壳组装治具,组装车间
SYTFZZZ007,,,,TF02-PRO前壳组装治具,组装车间
SYTFZZZ008,,,,TF-mini工业版转接板组装治具,组装车间
SYTFZZZ009,,,,分板治具,组装车间
SYTFZZZ010,,,,TFmini-plus镜头贴标签治具,组装车间
SYTFZZZ011,,,,TF-lunaPCBA固定治具,组装车间
SYTFZZZ012,,,,TF03激光器压合治具,组装车间
SYTFZZZ013,,,,TF-mini条码贴合治具,组装车间
SYTFZZZ014,,,,TF-mini工业版尾线组装工具,组装车间
SYTFZZZ015,,,,TFminip-lus尾线组装工具,组装车间
SYTFZZZ016,,,,TF03-APD接收板固定治具,组装车间
SYTFZZZ017,,,,TF03-APD标定治具,组装车间
SYTFZZZ018,,,,TF02-W雨刷组装治具,组装车间
SYTFZZZ019,,,,TF-Luna组装治具（35pcs）,组装车间
SYTFZZZ020,,,,TF350激光器焊接治具,组装车间
SYTFZZZ021,,,,TFmini-s组装工装,组装车间
SYTFZZZ022,,,,分板治具,组装车间
SYTFZZZ023,,,,TF03镜筒固定工装,组装车间
SYTFZZZ026,,,,Plus打螺丝工装,组装车间
SYTFZZZ027,,,,TFmini-S-A打螺丝工装,组装车间
SYTSZZZ020,,,,TS01-FCT治具,组装车间
SYTSZZZ021,,,,TS01-组装治具（左）,组装车间
SYTSZZZ022,,,,TS01-组装治具（右）,组装车间
SYTSZZZ023,,,,TS01-校准治具,组装车间
SYTSZZZ024,,,,TS01--EOL治具（左）,组装车间
SYTSZZZ025,,,,TS01--EOL治具（右）,组装车间
SYTFZZZ026,,,,TFmini-s-LH校准工装治具,校准车间