任务号,物料编码,对应工序,所做数量,开始时间
9,13.01.05.017,组装,418,2023-12-18 00:00:00
10,13.01.05.017,组装,418,2023-12-20 00:00:00
15,DZ.01.02.023.ZM02 ,组装,130,2023-11-16 00:00:00
15,DZ.01.02.023.ZM02 ,包装,130,2023-11-16 00:00:00
14,13.01.05.017,组装,1492,2024-02-02 00:00:00
14,13.01.05.017,包装,1492,2024-02-14 00:00:00
12,13.01.02.023,包装,204,2023-11-17 00:00:00
16,13.01.02.036,组装,52,2023-11-23 00:00:00
16,13.01.02.036,包装,52,2023-11-23 00:00:00
18,13.01.04.060,组装,100,2023-10-28 00:00:00
18,13.01.04.060,包装,100,2023-10-28 00:00:00
22,DZ.01.02.023.ZM,组装,250,2023-11-16 00:00:00
22,DZ.01.02.023.ZM,包装,250,2023-11-18 00:00:00
23,13.01.04.062,组装,2300,2023-12-16 00:00:00
29,13.01.02.025,组装,1500,2023-11-29 00:00:00
29,13.01.02.025,包装,1500,2023-12-02 00:00:00
31,13.01.07.008,组装,2000,2023-12-13 00:00:00
31,13.01.07.008,包装,2000,2023-12-14 00:00:00
35,13.01.08.007,组装,200,2023-10-09 00:00:00
35,13.01.08.007,组装,200,2023-10-09 00:00:00
35,13.01.08.007,包装,200,2023-10-09 00:00:00
39,DZ.01.02.023.F,组装,3500,2024-06-24 00:00:00
39,DZ.01.02.023.F,包装,3500,2024-07-03 00:00:00
49,13.01.07.008,组装,1500,2023-12-13 00:00:00
96,13.01.08.007,组装,200,2023-10-09 00:00:00
96,13.01.08.007,包装,200,2023-10-10 00:00:00
98,13.01.07.002,组装,-1940,2023-10-08 00:00:00
98,13.01.07.002,组装,-1940,2023-10-08 00:00:00
98,13.01.07.002,组装,-1940,2023-10-08 00:00:00
98,13.01.07.002,包装,-1940,2023-10-09 00:00:00
98,13.01.07.002,包装,-1940,2023-10-09 00:00:00
20,13.01.05.018,组装,120,2023-10-20 00:00:00
17,13.01.02.039,组装,100,2023-11-16 00:00:00
26,13.01.08.007,组装,100,2023-10-10 00:00:00
21,13.01.07.008,包装,900,2023-10-12 00:00:00
25,13.01.08.005,组装,900,2023-10-13 00:00:00
26,13.01.08.007,包装,100,2023-10-10 00:00:00
26,13.01.08.007,包装,100,2023-10-10 00:00:00
27,13.01.07.001,组装,1500,2023-12-14 00:00:00
25,13.01.08.005,包装,900,2023-10-13 00:00:00
17,13.01.02.039,包装,100,2023-11-18 00:00:00
32,13.01.02.038,组装,100,2023-10-10 00:00:00
28,13.01.07.002,包装,3000,2023-12-26 00:00:00
38,13.01.05.017,组装,2,2023-10-09 00:00:00
38,13.01.05.017,组装,2,2023-10-09 00:00:00
38,13.01.05.017,组装,2,2023-10-09 00:00:00
36,13.01.02.023,组装,96,2023-11-16 00:00:00
38,13.01.05.017,包装,2,2023-10-09 00:00:00
36,13.01.02.023,包装,96,2023-11-20 00:00:00
41,13.01.05.017,组装,2,2023-10-10 00:00:00
41,13.01.05.017,包装,2,2023-10-10 00:00:00
44,13.01.09.003,包装,20,2023-10-11 00:00:00
40,13.01.02.026,组装,1000,2023-10-20 00:00:00
46,13.01.05.005,组装,120,2023-12-25 00:00:00
48,13.01.08.007,组装,100,2023-10-10 00:00:00
48,13.01.08.007,包装,100,2023-10-11 00:00:00
51,13.01.08.006,组装,2100,2023-10-30 00:00:00
53,13.01.05.017,组装,480,2024-02-14 00:00:00
54,13.01.07.001,组装,1500,2023-12-15 00:00:00
57,13.01.08.006,组装,2100,2023-11-11 00:00:00
55,13.01.07.002,组装,4800,2024-02-17 00:00:00
54,13.01.07.001,包装,1500,2023-12-27 00:00:00
60,13.01.05.017,组装,120,2024-02-20 00:00:00
65,13.01.05.013,组装,190,2024-02-28 00:00:00
51,13.01.08.006,包装,2100,2023-11-02 00:00:00
68,13.01.04.041,组装,800,2024-02-26 00:00:00
68,13.01.04.041,组装,800,2024-02-26 00:00:00
69,13.01.02.030,组装,100,2023-11-10 00:00:00
69,13.01.02.030,包装,100,2023-11-10 00:00:00
71,13.01.05.013,组装,60,2023-11-06 00:00:00
57,13.01.08.006,包装,2100,2023-11-14 00:00:00
83,13.01.08.007,组装,100,2023-10-11 00:00:00
94,13.01.02.038,包装,100,2023-10-12 00:00:00
107,13.01.08.007,包装,100,2023-11-23 00:00:00
112,13.01.04.051,组装,100,2023-10-12 00:00:00
117,13.01.08.006,包装,2100,2024-04-10 00:00:00
120,13.01.05.005,组装,120,2024-04-08 00:00:00
123,13.01.07.002,组装,3000,2024-04-11 00:00:00
124,13.01.05.006,组装,120,2024-04-12 00:00:00
128,13.01.08.007,包装,100,2023-11-23 00:00:00
124,13.01.05.006,包装,120,2024-04-15 00:00:00
129,13.01.08.005,组装,900,2024-04-09 00:00:00
129,13.01.08.005,组装,900,2024-04-15 00:00:00
129,13.01.08.005,包装,900,2024-04-16 00:00:00
132,13.01.08.006,组装,9000,2024-04-17 00:00:00
132,13.01.08.006,包装,9000,2024-04-30 00:00:00
133,13.01.04.051,组装,100,2023-10-13 00:00:00
134,13.01.08.005,包装,900,2024-05-06 00:00:00
135,13.01.04.041,组装,800,2024-04-22 00:00:00
135,13.01.04.041,组装,800,2024-04-23 00:00:00
137,13.01.02.038,包装,100,2023-10-14 00:00:00
135,13.01.04.041,包装,800,2024-04-23 00:00:00
147,13.01.08.007,包装,100,2023-11-23 00:00:00
149,13.01.08.005,组装,900,2024-04-29 00:00:00
149,13.01.08.005,包装,900,2024-05-07 00:00:00
152,13.01.05.005,组装,120,2024-05-08 00:00:00
154,13.01.08.006,组装,2100,2024-05-09 00:00:00
151,13.01.08.006,包装,2100,2024-05-11 00:00:00
154,13.01.08.006,包装,2100,2024-05-15 00:00:00
155,13.01.05.013,组装,60,2024-05-04 00:00:00
156,13.01.08.005,组装,900,2024-05-07 00:00:00
157,13.01.05.005,组装,120,2024-05-13 00:00:00
156,13.01.08.005,包装,900,2024-05-17 00:00:00
162,13.01.07.002,组装,3000,2024-05-14 00:00:00
163,13.01.04.041,组装,800,2024-04-23 00:00:00
163,13.01.04.041,组装,800,2024-05-07 00:00:00
163,13.01.04.041,组装,800,2024-05-16 00:00:00
163,13.01.04.041,包装,800,2024-05-21 00:00:00
167,13.01.08.007,组装,100,2023-11-23 00:00:00
167,13.01.08.007,包装,100,2023-11-23 00:00:00
165,13.01.05.006,包装,120,2024-05-22 00:00:00
171,13.01.04.041,组装,800,2024-05-17 00:00:00
177,13.01.08.005,组装,900,2024-05-25 00:00:00
177,13.01.08.005,组装,900,2024-05-25 00:00:00
182,13.01.05.005,包装,120,2024-05-31 00:00:00
185,13.01.06.004,包装,200,2023-12-02 00:00:00
9,13.01.05.017,组装,418,2023-12-18 00:00:00
10,13.01.05.017,组装,418,2023-12-20 00:00:00
15,DZ.01.02.023.ZM02 ,组装,130,2023-11-16 00:00:00
15,DZ.01.02.023.ZM02 ,包装,130,2023-11-16 00:00:00
14,13.01.05.017,组装,1492,2024-02-02 00:00:00
14,13.01.05.017,包装,1492,2024-02-14 00:00:00
12,13.01.02.023,包装,204,2023-11-17 00:00:00
16,13.01.02.036,组装,52,2023-11-23 00:00:00
18,13.01.04.060,组装,100,2023-10-28 00:00:00
18,13.01.04.060,包装,100,2023-10-28 00:00:00
22,DZ.01.02.023.ZM,组装,250,2023-11-16 00:00:00
22,DZ.01.02.023.ZM,包装,250,2023-11-18 00:00:00
23,13.01.04.062,组装,2300,2023-12-16 00:00:00
29,13.01.02.025,组装,1500,2023-11-29 00:00:00
29,13.01.02.025,包装,1500,2023-12-02 00:00:00
31,13.01.07.008,组装,2000,2023-12-13 00:00:00
31,13.01.07.008,包装,2000,2023-12-14 00:00:00
39,DZ.01.02.023.F,组装,3500,2024-06-24 00:00:00
39,DZ.01.02.023.F,包装,3500,2024-07-03 00:00:00
49,13.01.07.008,组装,1500,2023-12-13 00:00:00
21,13.01.07.008,组装,900,2023-10-10 00:00:00
20,13.01.05.018,组装,120,2023-10-20 00:00:00
26,13.01.08.007,组装,100,2023-10-10 00:00:00
21,13.01.07.008,包装,900,2023-10-12 00:00:00
25,13.01.08.005,组装,900,2023-10-13 00:00:00
19,13.01.05.005,包装,120,2023-12-23 00:00:00
26,13.01.08.007,包装,100,2023-10-10 00:00:00
25,13.01.08.005,包装,900,2023-10-13 00:00:00
28,13.01.07.002,组装,3000,2023-12-14 00:00:00
17,13.01.02.039,包装,100,2023-11-18 00:00:00
28,13.01.07.002,包装,3000,2023-12-26 00:00:00
36,13.01.02.023,组装,96,2023-11-16 00:00:00
38,13.01.05.017,包装,2,2023-10-09 00:00:00
36,13.01.02.023,包装,96,2023-11-20 00:00:00
42,13.01.05.035,包装,30,2023-12-25 00:00:00
43,13.01.08.005,包装,900,2023-10-28 00:00:00
41,13.01.05.017,组装,2,2023-10-09 00:00:00
41,13.01.05.017,组装,2,2023-10-10 00:00:00
41,13.01.05.017,包装,2,2023-10-10 00:00:00
44,13.01.09.003,组装,20,2023-10-10 00:00:00
44,13.01.09.003,组装,20,2023-10-10 00:00:00
40,13.01.02.026,组装,1000,2023-10-20 00:00:00
45,13.01.04.056,包装,100,2023-10-11 00:00:00
46,13.01.05.005,组装,120,2023-12-25 00:00:00
48,13.01.08.007,组装,100,2023-10-10 00:00:00
48,13.01.08.007,组装,100,2023-10-10 00:00:00
48,13.01.08.007,包装,100,2023-10-11 00:00:00
53,13.01.05.017,组装,480,2024-02-15 00:00:00
57,13.01.08.006,组装,2100,2023-11-11 00:00:00
54,13.01.07.001,包装,1500,2023-12-27 00:00:00
65,13.01.05.013,组装,190,2024-02-28 00:00:00
63,13.01.07.002,包装,3000,2024-02-26 00:00:00
64,13.01.04.042,包装,1500,2024-02-26 00:00:00
66,13.01.07.002,包装,3000,2024-03-02 00:00:00
69,13.01.02.030,组装,100,2023-11-10 00:00:00
65,13.01.05.013,包装,190,2024-02-29 00:00:00
69,13.01.02.030,包装,100,2023-11-10 00:00:00
71,13.01.05.013,组装,60,2023-11-06 00:00:00
57,13.01.08.006,包装,2100,2023-11-14 00:00:00
72,13.01.08.005,组装,900,2024-02-26 00:00:00
67,13.01.07.008,包装,3000,2024-03-05 00:00:00
75,13.01.05.018,包装,120,2024-03-04 00:00:00
75,13.01.05.018,包装,120,2024-03-04 00:00:00
80,DZ.01.05.017.Bordelaise,组装,40,2024-02-27 00:00:00
81,13.01.07.001,组装,1500,2024-03-05 00:00:00
82,13.01.07.008,组装,2000,2024-03-06 00:00:00
73,13.01.07.003,包装,3700,2024-03-19 00:00:00
83,13.01.08.007,组装,100,2023-10-11 00:00:00
80,DZ.01.05.017.Bordelaise,包装,40,2024-03-02 00:00:00
81,13.01.07.001,包装,1500,2024-03-20 00:00:00
83,13.01.08.007,包装,100,2023-10-11 00:00:00
84,13.01.05.013,组装,60,2024-03-07 00:00:00
82,13.01.07.008,包装,2000,2024-03-22 00:00:00
85,13.01.07.002,组装,3000,2024-03-07 00:00:00
86,13.01.08.006,组装,2100,2024-03-08 00:00:00
91,13.01.07.002,包装,3000,2024-03-28 00:00:00
85,13.01.07.002,包装,3000,2024-03-25 00:00:00
92,13.01.04.041,组装,800,2024-02-27 00:00:00
86,13.01.08.006,包装,2100,2024-03-16 00:00:00
94,13.01.02.038,包装,100,2023-10-12 00:00:00
95,13.01.05.035,包装,30,2024-03-11 00:00:00
97,13.01.08.006,组装,2100,2024-03-18 00:00:00
100,13.01.08.005,组装,900,2024-03-19 00:00:00
101,13.01.07.002,组装,3000,2024-03-22 00:00:00
101,13.01.07.002,包装,3000,2024-04-04 00:00:00
99,13.01.07.002,包装,4940,2024-04-02 00:00:00
100,13.01.08.005,包装,900,2024-03-23 00:00:00
103,13.01.07.001,包装,1500,2024-04-04 00:00:00
106,13.01.05.013,包装,60,2024-03-28 00:00:00
106,13.01.05.013,包装,60,2024-03-28 00:00:00
109,13.01.04.042,组装,1500,2024-03-28 00:00:00
104,13.01.05.005,包装,120,2024-03-29 00:00:00
108,13.01.04.041,组装,800,2024-03-25 00:00:00
108,13.01.04.041,组装,800,2024-03-29 00:00:00
109,13.01.04.042,包装,1500,2024-04-01 00:00:00
111,13.01.05.018,组装,120,2024-03-30 00:00:00
111,13.01.05.018,包装,120,2024-04-01 00:00:00
108,13.01.04.041,包装,800,2024-04-03 00:00:00
115,13.01.09.001,组装,20,2023-12-23 00:00:00
112,13.01.04.051,组装,100,2023-10-12 00:00:00
116,13.01.07.001,组装,1500,2024-04-03 00:00:00
117,13.01.08.006,组装,2100,2024-04-05 00:00:00
123,13.01.07.002,组装,3000,2024-04-11 00:00:00
124,13.01.05.006,组装,120,2024-04-12 00:00:00
126,13.01.05.017,组装,120,2024-04-13 00:00:00
123,13.01.07.002,包装,3000,2024-04-13 00:00:00
126,13.01.05.017,包装,120,2024-04-15 00:00:00
131,13.01.09.002,组装,50,2024-03-19 00:00:00
132,13.01.08.006,组装,9000,2024-04-17 00:00:00
132,13.01.08.006,包装,9000,2024-04-30 00:00:00
134,13.01.08.005,组装,900,2024-04-22 00:00:00
133,13.01.04.051,组装,100,2023-10-13 00:00:00
134,13.01.08.005,包装,900,2024-05-06 00:00:00
137,13.01.02.038,包装,100,2023-10-14 00:00:00
138,13.01.04.055,包装,100,2023-10-16 00:00:00
141,13.01.07.001,组装,1500,2024-04-24 00:00:00
142,13.01.07.002,组装,3000,2024-04-24 00:00:00
143,13.01.05.018,组装,120,2024-04-25 00:00:00
144,13.01.05.005,组装,120,2024-04-27 00:00:00
144,13.01.05.005,包装,120,2024-04-29 00:00:00
142,13.01.07.002,包装,3000,2024-04-29 00:00:00
148,13.01.09.001,组装,20,2024-03-05 00:00:00
146,13.01.04.046,包装,100,2023-11-03 00:00:00
149,13.01.08.005,包装,900,2024-05-08 00:00:00
152,13.01.05.005,组装,120,2024-05-08 00:00:00
152,13.01.05.005,包装,120,2024-05-09 00:00:00
154,13.01.08.006,组装,2100,2024-05-09 00:00:00
151,13.01.08.006,包装,2100,2024-05-11 00:00:00
154,13.01.08.006,包装,2100,2024-05-15 00:00:00
155,13.01.05.013,包装,60,2024-05-06 00:00:00
157,13.01.05.005,组装,120,2024-05-13 00:00:00
156,13.01.08.005,包装,900,2024-05-17 00:00:00
157,13.01.05.005,包装,120,2024-05-14 00:00:00
158,13.01.04.051,包装,100,2023-11-03 00:00:00
160,13.01.09.003,组装,20,2024-03-20 00:00:00
159,13.01.04.056,包装,100,2023-11-04 00:00:00
164,13.01.04.042,组装,1500,2024-05-15 00:00:00
162,13.01.07.002,包装,3000,2024-05-21 00:00:00
163,13.01.04.041,包装,800,2024-05-21 00:00:00
166,13.01.05.017,包装,120,2024-05-23 00:00:00
165,13.01.05.006,包装,120,2024-05-22 00:00:00
169,13.01.04.055,包装,100,2023-11-04 00:00:00
170,13.01.08.005,组装,900,2024-05-16 00:00:00
173,13.01.05.005,组装,120,2024-05-24 00:00:00
173,13.01.05.005,包装,120,2024-05-25 00:00:00
178,13.01.09.001,组装,20,2024-03-25 00:00:00
177,13.01.08.005,组装,900,2024-05-25 00:00:00
176,13.01.04.056,包装,100,2023-11-04 00:00:00
181,13.01.07.001,组装,1500,2024-05-28 00:00:00
181,13.01.07.001,包装,1500,2024-05-29 00:00:00
177,13.01.08.005,包装,900,2024-05-31 00:00:00
179,13.01.07.002,包装,3000,2024-05-29 00:00:00
184,13.01.04.051,包装,100,2023-11-23 00:00:00
9,13.01.05.017,组装,418,2023-12-18 00:00:00
10,13.01.05.017,组装,418,2023-12-20 00:00:00
15,DZ.01.02.023.ZM02 ,组装,130,2023-11-16 00:00:00
14,13.01.05.017,组装,1492,2024-02-02 00:00:00
12,13.01.02.023,组装,204,2023-11-16 00:00:00
16,13.01.02.036,组装,52,2023-11-23 00:00:00
18,13.01.04.060,组装,100,2023-10-28 00:00:00
18,13.01.04.060,包装,100,2023-10-28 00:00:00
22,DZ.01.02.023.ZM,组装,250,2023-11-16 00:00:00
23,13.01.04.062,组装,2300,2023-12-16 00:00:00
29,13.01.02.025,组装,1500,2023-11-29 00:00:00
31,13.01.07.008,组装,2000,2023-12-13 00:00:00
39,DZ.01.02.023.F,组装,3500,2024-06-24 00:00:00
49,13.01.07.008,组装,1500,2023-12-13 00:00:00
20,13.01.05.018,组装,120,2023-10-20 00:00:00
25,13.01.08.005,组装,900,2023-10-13 00:00:00
19,13.01.05.005,包装,120,2023-12-23 00:00:00
27,13.01.07.001,组装,1500,2023-12-14 00:00:00
25,13.01.08.005,包装,900,2023-10-13 00:00:00
28,13.01.07.002,组装,3000,2023-12-14 00:00:00
36,13.01.02.023,组装,96,2023-11-16 00:00:00
42,13.01.05.035,包装,30,2023-12-25 00:00:00
43,13.01.08.005,包装,900,2023-10-28 00:00:00
40,13.01.02.026,组装,1000,2023-10-20 00:00:00
53,13.01.05.017,组装,480,2024-02-15 00:00:00
57,13.01.08.006,组装,2100,2023-11-11 00:00:00
53,13.01.05.017,包装,480,2024-02-19 00:00:00
53,13.01.05.017,包装,480,2024-02-19 00:00:00
60,13.01.05.017,组装,120,2024-02-19 00:00:00
62,13.01.05.006,包装,120,2024-02-22 00:00:00
60,13.01.05.017,包装,120,2024-02-22 00:00:00
60,13.01.05.017,包装,120,2024-02-22 00:00:00
65,13.01.05.013,组装,190,2024-02-28 00:00:00
64,13.01.04.042,组装,1500,2024-02-22 00:00:00
64,13.01.04.042,组装,1500,2024-02-23 00:00:00
56,13.01.07.008,包装,1000,2024-02-20 00:00:00
56,13.01.07.008,包装,1000,2024-02-21 00:00:00
66,13.01.07.002,组装,3000,2024-02-23 00:00:00
67,13.01.07.008,组装,3000,2024-02-24 00:00:00
51,13.01.08.006,包装,2100,2023-11-02 00:00:00
63,13.01.07.002,包装,3000,2024-02-26 00:00:00
66,13.01.07.002,包装,3000,2024-03-02 00:00:00
55,13.01.07.002,包装,4800,2024-02-26 00:00:00
