任务号,物料编码,对应工序,所做数量,开始时间
114,13.01.08.005,包装,900,2024-04-05 00:00:00
120,13.01.05.005,组装,120,2024-04-08 00:00:00
121,13.01.07.001,组装,1500,2024-04-09 00:00:00
121,13.01.07.001,包装,1500,2024-04-10 00:00:00
128,13.01.08.007,组装,100,2023-11-23 00:00:00
127,13.01.06.004,组装,200,2023-11-29 00:00:00
128,13.01.08.007,包装,100,2023-11-23 00:00:00
122,13.01.04.041,包装,800,2024-04-13 00:00:00
122,13.01.04.041,包装,800,2024-04-15 00:00:00
131,13.01.09.002,组装,50,2024-03-19 00:00:00
129,13.01.08.005,包装,900,2024-04-16 00:00:00
134,13.01.08.005,组装,900,2024-04-22 00:00:00
134,13.01.08.005,包装,900,2024-05-06 00:00:00
139,13.01.04.056,组装,100,2023-10-14 00:00:00
138,13.01.04.055,组装,100,2023-10-14 00:00:00
135,13.01.04.041,包装,800,2024-04-23 00:00:00
142,13.01.07.002,组装,3000,2024-04-24 00:00:00
143,13.01.05.018,包装,120,2024-04-27 00:00:00
144,13.01.05.005,组装,120,2024-04-27 00:00:00
141,13.01.07.001,包装,1500,2024-04-29 00:00:00
141,13.01.07.001,包装,1500,2024-04-30 00:00:00
148,13.01.09.001,包装,20,2024-03-14 00:00:00
146,13.01.04.046,组装,100,2023-11-03 00:00:00
147,13.01.08.007,包装,100,2023-11-23 00:00:00
149,13.01.08.005,组装,900,2024-04-26 00:00:00
150,13.01.07.001,组装,1500,2024-05-01 00:00:00
150,13.01.07.001,组装,1500,2024-05-02 00:00:00
150,13.01.07.001,组装,1500,2024-05-02 00:00:00
151,13.01.08.006,组装,2100,2024-05-04 00:00:00
151,13.01.08.006,组装,2100,2024-05-07 00:00:00
149,13.01.08.005,包装,900,2024-05-08 00:00:00
153,13.01.04.035,组装,200,2024-02-07 00:00:00
153,13.01.04.035,组装,200,2024-02-14 00:00:00
153,13.01.04.035,组装,200,2024-02-21 00:00:00
153,13.01.04.035,包装,200,2024-04-27 00:00:00
153,13.01.04.035,包装,200,2024-04-27 00:00:00
150,13.01.07.001,包装,1500,2024-05-09 00:00:00
151,13.01.08.006,包装,2100,2024-05-11 00:00:00
156,13.01.08.005,包装,900,2024-05-17 00:00:00
158,13.01.04.051,组装,100,2023-11-03 00:00:00
160,13.01.09.003,组装,20,2024-03-20 00:00:00
159,13.01.04.056,组装,100,2023-11-03 00:00:00
161,13.01.07.001,组装,1500,2024-05-14 00:00:00
162,13.01.07.002,组装,3000,2024-05-16 00:00:00
165,13.01.05.006,组装,120,2024-05-20 00:00:00
166,13.01.05.017,组装,120,2024-05-21 00:00:00
167,13.01.08.007,包装,100,2023-11-23 00:00:00
171,13.01.04.041,包装,800,2024-05-23 00:00:00
175,13.01.05.011,组装,30,2024-04-13 00:00:00
175,13.01.05.011,组装,30,2024-05-22 00:00:00
175,13.01.05.011,组装,30,2024-05-23 00:00:00
170,13.01.08.005,包装,900,2024-05-25 00:00:00
176,13.01.04.056,组装,100,2023-11-04 00:00:00
180,13.01.04.041,组装,800,2024-05-28 00:00:00
180,13.01.04.041,包装,800,2024-05-29 00:00:00
182,13.01.05.005,组装,120,2024-05-30 00:00:00
186,13.01.08.007,组装,100,2023-11-23 00:00:00
186,13.01.08.007,组装,100,2023-11-23 00:00:00
186,13.01.08.007,包装,100,2023-11-23 00:00:00
9,13.01.05.017,包装,418,2023-12-20 00:00:00
10,13.01.05.017,包装,418,2023-12-23 00:00:00
12,13.01.02.023,组装,204,2023-11-16 00:00:00
16,13.01.02.036,包装,52,2023-11-23 00:00:00
22,DZ.01.02.023.ZM,组装,250,2023-11-16 00:00:00
23,13.01.04.062,包装,2300,2023-12-20 00:00:00
34,13.01.07.008,组装,2000,2023-12-13 00:00:00
34,13.01.07.008,组装,2000,2023-12-13 00:00:00
96,13.01.08.007,包装,200,2023-10-10 00:00:00
19,13.01.05.005,组装,120,2023-12-20 00:00:00
21,13.01.07.008,组装,900,2023-10-10 00:00:00
11,13.01.05.035,包装,30,2023-12-21 00:00:00
20,13.01.05.018,包装,120,2023-10-20 00:00:00
24,13.01.04.035,组装,200,2023-10-20 00:00:00
24,13.01.04.035,组装,200,2023-10-20 00:00:00
24,13.01.04.035,包装,200,2023-10-20 00:00:00
27,13.01.07.001,组装,1500,2023-12-14 00:00:00
32,13.01.02.038,组装,100,2023-10-10 00:00:00
42,13.01.05.035,组装,30,2023-12-20 00:00:00
42,13.01.05.035,组装,30,2023-12-22 00:00:00
42,13.01.05.035,组装,30,2023-12-23 00:00:00
32,13.01.02.038,包装,100,2023-10-11 00:00:00
43,13.01.08.005,组装,900,2023-10-28 00:00:00
30,13.01.04.041,包装,800,2024-02-14 00:00:00
46,13.01.05.005,组装,120,2023-12-23 00:00:00
48,13.01.08.007,包装,100,2023-10-11 00:00:00
47,13.01.04.042,组装,55,2023-10-20 00:00:00
47,13.01.04.042,组装,55,2023-10-20 00:00:00
47,13.01.04.042,组装,55,2023-10-20 00:00:00
46,13.01.05.005,包装,120,2023-12-26 00:00:00
47,13.01.04.042,包装,55,2023-10-20 00:00:00
47,13.01.04.042,包装,55,2023-10-20 00:00:00
51,13.01.08.006,组装,2100,2023-10-28 00:00:00
51,13.01.08.006,组装,2100,2023-10-30 00:00:00
54,13.01.07.001,组装,1500,2023-12-15 00:00:00
56,13.01.07.008,组装,1000,2024-02-14 00:00:00
56,13.01.07.008,组装,1000,2024-02-15 00:00:00
55,13.01.07.002,组装,4800,2024-02-19 00:00:00
59,13.01.05.006,组装,120,2023-11-17 00:00:00
62,13.01.05.006,组装,120,2024-02-21 00:00:00
40,13.01.02.026,包装,1000,2023-10-26 00:00:00
63,13.01.07.002,组装,3000,2024-02-22 00:00:00
66,13.01.07.002,组装,3000,2024-02-24 00:00:00
59,13.01.05.006,包装,120,2023-11-17 00:00:00
70,13.01.04.055,组装,100,2023-11-11 00:00:00
70,13.01.04.055,包装,100,2023-11-11 00:00:00
72,13.01.08.005,组装,900,2024-02-27 00:00:00
71,13.01.05.013,包装,60,2023-11-06 00:00:00
68,13.01.04.041,包装,800,2024-02-29 00:00:00
75,13.01.05.018,组装,120,2024-03-01 00:00:00
74,13.01.05.005,组装,120,2024-03-04 00:00:00
72,13.01.08.005,包装,900,2024-03-05 00:00:00
79,13.01.05.017,组装,8,2023-10-20 00:00:00
79,13.01.05.017,包装,8,2023-10-21 00:00:00
80,DZ.01.05.017.Bordelaise,组装,40,2024-02-27 00:00:00
80,DZ.01.05.017.Bordelaise,组装,40,2024-02-28 00:00:00
82,13.01.07.008,组装,2000,2024-03-06 00:00:00
83,13.01.08.007,包装,100,2023-10-11 00:00:00
83,13.01.08.007,包装,100,2023-10-11 00:00:00
85,13.01.07.002,组装,3000,2024-03-07 00:00:00
88,13.01.05.006,组装,120,2024-03-09 00:00:00
89,13.01.08.005,组装,900,2024-03-12 00:00:00
91,13.01.07.002,组装,3000,2024-03-12 00:00:00
89,13.01.08.005,包装,900,2024-03-14 00:00:00
94,13.01.02.038,组装,100,2023-10-11 00:00:00
86,13.01.08.006,包装,2100,2024-03-16 00:00:00
100,13.01.08.005,包装,900,2024-03-23 00:00:00
105,13.01.05.017,组装,120,2024-03-26 00:00:00
104,13.01.05.005,组装,120,2024-03-27 00:00:00
107,13.01.08.007,组装,100,2023-11-23 00:00:00
97,13.01.08.006,包装,2100,2024-03-28 00:00:00
108,13.01.04.041,组装,800,2024-03-29 00:00:00
110,13.01.05.005,组装,120,2024-04-01 00:00:00
110,13.01.05.005,组装,120,2024-04-02 00:00:00
113,13.01.04.055,组装,100,2023-10-12 00:00:00
113,13.01.04.055,包装,100,2023-10-12 00:00:00
115,13.01.09.001,组装,20,2023-12-23 00:00:00
112,13.01.04.051,包装,100,2023-10-12 00:00:00
117,13.01.08.006,组装,2100,2024-04-06 00:00:00
118,13.01.04.056,组装,100,2023-10-12 00:00:00
118,13.01.04.056,包装,100,2023-10-13 00:00:00
120,13.01.05.005,组装,120,2024-04-08 00:00:00
121,13.01.07.001,组装,1500,2024-04-09 00:00:00
121,13.01.07.001,包装,1500,2024-04-11 00:00:00
122,13.01.04.041,组装,800,2024-03-30 00:00:00
126,13.01.05.017,组装,120,2024-04-13 00:00:00
126,13.01.05.017,组装,120,2024-04-13 00:00:00
128,13.01.08.007,组装,100,2023-11-23 00:00:00
127,13.01.06.004,组装,200,2023-11-29 00:00:00
127,13.01.06.004,组装,200,2023-11-29 00:00:00
127,13.01.06.004,组装,200,2023-11-29 00:00:00
127,13.01.06.004,包装,200,2023-11-30 00:00:00
129,13.01.08.005,组装,900,2024-04-15 00:00:00
132,13.01.08.006,组装,9000,2024-04-17 00:00:00
134,13.01.08.005,组装,900,2024-04-16 00:00:00
133,13.01.04.051,包装,100,2023-10-13 00:00:00
135,13.01.04.041,组装,800,2024-04-23 00:00:00
137,13.01.02.038,组装,100,2023-10-13 00:00:00
137,13.01.02.038,组装,100,2023-10-14 00:00:00
139,13.01.04.056,包装,100,2023-10-14 00:00:00
138,13.01.04.055,包装,100,2023-10-16 00:00:00
141,13.01.07.001,组装,1500,2024-04-24 00:00:00
143,13.01.05.018,组装,120,2024-04-25 00:00:00
143,13.01.05.018,包装,120,2024-04-27 00:00:00
148,13.01.09.001,包装,20,2024-03-14 00:00:00
147,13.01.08.007,组装,100,2023-11-23 00:00:00
147,13.01.08.007,组装,100,2023-11-23 00:00:00
146,13.01.04.046,组装,100,2023-11-03 00:00:00
149,13.01.08.005,组装,900,2024-04-29 00:00:00
151,13.01.08.006,组装,2100,2024-05-07 00:00:00
152,13.01.05.005,组装,120,2024-05-08 00:00:00
153,13.01.04.035,包装,200,2024-04-29 00:00:00
150,13.01.07.001,包装,1500,2024-05-09 00:00:00
156,13.01.08.005,组装,900,2024-05-13 00:00:00
157,13.01.05.005,组装,120,2024-05-13 00:00:00
158,13.01.04.051,组装,100,2023-11-03 00:00:00
160,13.01.09.003,包装,20,2024-03-25 00:00:00
161,13.01.07.001,组装,1500,2024-05-14 00:00:00
162,13.01.07.002,组装,3000,2024-05-18 00:00:00
161,13.01.07.001,包装,1500,2024-05-20 00:00:00
166,13.01.05.017,组装,120,2024-05-22 00:00:00
167,13.01.08.007,组装,100,2023-11-23 00:00:00
169,13.01.04.055,组装,100,2023-11-03 00:00:00
170,13.01.08.005,组装,900,2024-05-16 00:00:00
170,13.01.08.005,组装,900,2024-05-23 00:00:00
173,13.01.05.005,组装,120,2024-05-24 00:00:00
170,13.01.08.005,包装,900,2024-05-25 00:00:00
176,13.01.04.056,组装,100,2023-11-04 00:00:00
179,13.01.07.002,组装,3000,2024-05-27 00:00:00
180,13.01.04.041,组装,800,2024-05-28 00:00:00
182,13.01.05.005,组装,120,2024-05-29 00:00:00
184,13.01.04.051,组装,100,2023-11-23 00:00:00
177,13.01.08.005,包装,900,2024-05-30 00:00:00
185,13.01.06.004,组装,200,2023-11-30 00:00:00
185,13.01.06.004,组装,200,2023-11-30 00:00:00
185,13.01.06.004,组装,200,2023-11-30 00:00:00
185,13.01.06.004,组装,200,2023-11-30 00:00:00
186,13.01.08.007,包装,100,2023-11-24 00:00:00
9,13.01.05.017,包装,418,2023-12-20 00:00:00
10,13.01.05.017,包装,418,2023-12-23 00:00:00
12,13.01.02.023,组装,204,2023-11-16 00:00:00
16,13.01.02.036,包装,52,2023-11-23 00:00:00
23,13.01.04.062,包装,2300,2023-12-19 00:00:00
34,13.01.07.008,包装,2000,2023-12-16 00:00:00
35,13.01.08.007,包装,200,2023-10-09 00:00:00
35,13.01.08.007,包装,200,2023-10-09 00:00:00
49,13.01.07.008,包装,1500,2023-12-18 00:00:00
50,13.01.07.008,组装,1500,2023-12-14 00:00:00
50,13.01.07.008,包装,1500,2023-12-19 00:00:00
50,13.01.07.008,包装,1500,2023-12-19 00:00:00
96,13.01.08.007,组装,200,2023-10-09 00:00:00
96,13.01.08.007,包装,200,2023-10-10 00:00:00
96,13.01.08.007,包装,200,2023-10-10 00:00:00
11,13.01.05.035,组装,30,2023-12-20 00:00:00
19,13.01.05.005,组装,120,2023-12-20 00:00:00
19,13.01.05.005,组装,120,2023-12-21 00:00:00
26,13.01.08.007,组装,100,2023-10-10 00:00:00
20,13.01.05.018,包装,120,2023-10-20 00:00:00
26,13.01.08.007,包装,100,2023-10-10 00:00:00
24,13.01.04.035,包装,200,2023-10-20 00:00:00
24,13.01.04.035,包装,200,2023-10-20 00:00:00
32,13.01.02.038,组装,100,2023-10-10 00:00:00
27,13.01.07.001,包装,1500,2023-12-22 00:00:00
36,13.01.02.023,组装,96,2023-11-16 00:00:00
42,13.01.05.035,组装,30,2023-12-20 00:00:00
43,13.01.08.005,组装,900,2023-10-28 00:00:00
41,13.01.05.017,组装,2,2023-10-09 00:00:00
44,13.01.09.003,组装,20,2023-10-10 00:00:00
45,13.01.04.056,组装,100,2023-10-11 00:00:00
45,13.01.04.056,组装,100,2023-10-11 00:00:00
46,13.01.05.005,组装,120,2023-12-25 00:00:00
51,13.01.08.006,组装,2100,2023-10-30 00:00:00
53,13.01.05.017,组装,480,2024-02-15 00:00:00
54,13.01.07.001,组装,1500,2023-12-16 00:00:00
61,13.01.09.001,组装,20,2023-12-18 00:00:00
61,13.01.09.001,组装,20,2023-12-19 00:00:00
61,13.01.09.001,组装,20,2023-12-20 00:00:00
59,13.01.05.006,组装,120,2023-11-17 00:00:00
60,13.01.05.017,组装,120,2024-02-20 00:00:00
62,13.01.05.006,组装,120,2024-02-21 00:00:00
40,13.01.02.026,包装,1000,2023-10-26 00:00:00
63,13.01.07.002,组装,3000,2024-02-22 00:00:00
67,13.01.07.008,组装,3000,2024-02-26 00:00:00
70,13.01.04.055,组装,100,2023-11-11 00:00:00
70,13.01.04.055,组装,100,2023-11-11 00:00:00
70,13.01.04.055,包装,100,2023-11-11 00:00:00
71,13.01.05.013,包装,60,2023-11-06 00:00:00
68,13.01.04.041,包装,800,2024-02-29 00:00:00
75,13.01.05.018,组装,120,2024-03-02 00:00:00
74,13.01.05.005,组装,120,2024-03-04 00:00:00
72,13.01.08.005,包装,900,2024-03-05 00:00:00
79,13.01.05.017,组装,8,2023-10-20 00:00:00
84,13.01.05.013,组装,60,2024-03-07 00:00:00
85,13.01.07.002,组装,3000,2024-03-07 00:00:00
88,13.01.05.006,组装,120,2024-03-09 00:00:00
89,13.01.08.005,组装,900,2024-03-12 00:00:00
94,13.01.02.038,组装,100,2023-10-11 00:00:00
86,13.01.08.006,包装,2100,2024-03-16 00:00:00
95,13.01.05.035,包装,30,2024-03-13 00:00:00
99,13.01.07.002,组装,4940,2024-03-21 00:00:00
100,13.01.08.005,包装,900,2024-03-23 00:00:00
105,13.01.05.017,组装,120,2024-03-26 00:00:00
107,13.01.08.007,组装,100,2023-11-23 00:00:00
107,13.01.08.007,组装,100,2023-11-23 00:00:00
97,13.01.08.006,包装,2100,2024-03-28 00:00:00
111,13.01.05.018,组装,120,2024-03-29 00:00:00
110,13.01.05.005,组装,120,2024-04-02 00:00:00
114,13.01.08.005,组装,900,2024-04-01 00:00:00
113,13.01.04.055,包装,100,2023-10-12 00:00:00
115,13.01.09.001,组装,20,2023-12-23 00:00:00
115,13.01.09.001,包装,20,2023-12-23 00:00:00
114,13.01.08.005,包装,900,2024-04-04 00:00:00
116,13.01.07.001,组装,1500,2024-04-05 00:00:00
117,13.01.08.006,组装,2100,2024-04-06 00:00:00
118,13.01.04.056,组装,100,2023-10-12 00:00:00
118,13.01.04.056,组装,100,2023-10-12 00:00:00
118,13.01.04.056,包装,100,2023-10-13 00:00:00
120,13.01.05.005,组装,120,2024-04-08 00:00:00
122,13.01.04.041,组装,800,2024-04-03 00:00:00
126,13.01.05.017,组装,120,2024-04-13 00:00:00
129,13.01.08.005,组装,900,2024-04-15 00:00:00
132,13.01.08.006,组装,9000,2024-04-17 00:00:00
133,13.01.04.051,组装,100,2023-10-13 00:00:00
133,13.01.04.051,包装,100,2023-10-13 00:00:00
137,13.01.02.038,组装,100,2023-10-13 00:00:00
137,13.01.02.038,组装,100,2023-10-14 00:00:00
141,13.01.07.001,组装,1500,2024-04-24 00:00:00
143,13.01.05.018,组装,120,2024-04-25 00:00:00
144,13.01.05.005,组装,120,2024-04-27 00:00:00
147,13.01.08.007,组装,100,2023-11-23 00:00:00
147,13.01.08.007,组装,100,2023-11-23 00:00:00
146,13.01.04.046,组装,100,2023-11-03 00:00:00
149,13.01.08.005,组装,900,2024-04-29 00:00:00
151,13.01.08.006,组装,2100,2024-05-07 00:00:00
152,13.01.05.005,组装,120,2024-05-08 00:00:00
154,13.01.08.006,组装,2100,2024-05-10 00:00:00
155,13.01.05.013,组装,60,2024-05-04 00:00:00
156,13.01.08.005,组装,900,2024-05-13 00:00:00
159,13.01.04.056,组装,100,2023-11-03 00:00:00
161,13.01.07.001,组装,1500,2024-05-14 00:00:00
166,13.01.05.017,组装,120,2024-05-22 00:00:00
167,13.01.08.007,组装,100,2023-11-23 00:00:00
169,13.01.04.055,组装,100,2023-11-04 00:00:00
170,13.01.08.005,组装,900,2024-05-23 00:00:00
171,13.01.04.041,组装,800,2024-05-17 00:00:00
173,13.01.05.005,组装,120,2024-05-24 00:00:00
170,13.01.08.005,包装,900,2024-05-25 00:00:00
178,13.01.09.001,组装,20,2024-03-28 00:00:00
178,13.01.09.001,组装,20,2024-04-01 00:00:00
179,13.01.07.002,组装,3000,2024-05-27 00:00:00
180,13.01.04.041,组装,800,2024-05-28 00:00:00
182,13.01.05.005,组装,120,2024-05-29 00:00:00
184,13.01.04.051,组装,100,2023-11-23 00:00:00
184,13.01.04.051,组装,100,2023-11-23 00:00:00
177,13.01.08.005,包装,900,2024-05-30 00:00:00
186,13.01.08.007,包装,100,2023-11-24 00:00:00
